x;y
-11.1;89.2
-11.9;88.9
-11.9;88.8
-11.9;88.7
-12;88.8
-12;88.9
-12.2;89
-12.2;88.8
-12.8;89
-12.9;88.9
-12.9;88.8
-12.9;88.6
-13;88.8
-13.1;88.9
-13.2;88.9
-13.1;88.8
-13.3;88.7
-13.4;88.8
-13.4;88.6
-13.5;88.5
-12.3;88.6
-12.5;89
-11.5;88.9
-12;88.8
-12.1;88.9
-10.8;89.2
-10.6;89.2
-13.2;89
-11.5;88.9
-11.6;89.2
-12.2;88.9
-10.5;89.1
-11.6;89
-11.5;88.9
-11.5;88.9
-11.6;88.9
-11.8;88.9
-10.3;88.9
-10.5;89.1
-11.4;89
